frequency_Hz	Impedance_real	Impedance_imag
475000000.0	16.786	-85.864
476000000.0	16.636	-85.441
477000000.0	16.569	-85.112
478000000.0	16.519	-84.808
479000000.0	16.461	-84.443
480000000.0	16.327	-84.082
481000000.0	16.251	-83.738
482000000.0	16.066	-83.371
483000000.0	15.943	-83.089
484000000.0	15.814	-82.782
485000000.0	15.669	-82.459
486000000.0	15.522	-82.064
487000000.0	15.458	-81.733
488000000.0	15.293	-81.351
489000000.0	15.243	-81.042
490000000.0	15.146	-80.671
491000000.0	15.05	-80.296
492000000.0	14.973	-79.911
493000000.0	14.955	-79.614
494000000.0	14.876	-79.266
495000000.0	14.839	-78.892
496000000.0	14.723	-78.569
497000000.0	14.683	-78.282
498000000.0	14.643	-78.058
499000000.0	14.614	-77.894
500000000.0	14.594	-77.713
