names,numbers,x,y,z
HexS15,1051,-218.9394764918834,333.3490458149463,-49.028487727511674
HexS16,1052,-147.9435462425463,363.5698480112478,-60.178790712263435
HexS17,1053,-160.39658328332007,357.1670955605805,-60.11809867946431
HexS18,1054,-172.86963219149038,350.7707651183009,-60.072647479362786
HexS19,1055,-197.78077356657013,338.01322160474956,-59.96613042196259
HexS20,1056,-210.24601489678025,331.64144904725254,-59.877343878149986
HexS21,1057,-222.69748237309977,325.22888835985214,-59.84882846660912
HexS22,1058,-151.7108642179519,355.481596195139,-70.98087453097105
HexS23,1059,-164.16902512684464,349.0623102001846,-70.90047493902966
HexS24,1060,-176.61287776287645,342.6991974171251,-70.84209451405331
HexS25,1061,-189.09426815155894,336.29273906722665,-70.77158647496253
HexS26,1062,-201.5566419949755,329.9152579046786,-70.73555587232113
HexS27,1063,-214.00852268841118,323.5191147811711,-70.66637975675985
HexS28,1064,-155.46968843135983,347.354156492278,-81.75111238425598
HexS29,1065,-167.91553652007133,340.9660542551428,-81.67971099959686
HexS30,1066,-180.4122753534466,334.6168858176097,-81.6317038750276
HexS31,1067,-192.8489279090427,328.21938846074045,-81.56071948399767
HexS32,1068,-205.3392145629041,321.8573749968782,-81.53906334936619
HexS33,1069,-159.2353126439266,339.2558491853997,-92.51471220282838
HexS34,1070,-171.71649459050968,332.902444194071,-92.48143718251958
HexS35,1071,-184.1824084375985,326.5297826388851,-92.41143247531727
HexS36,1072,-196.63600953761488,320.1437480477616,-92.35614368412644
CRAM,1099,9.313225746154785e-10,-9.313225746154785e-10,-4.656612873077393e-10
LBA1,2001,1595.7697860789485,1278.4051319807768,17.208695572335273
LBA2,2002,1420.8410447998904,1114.9844278208911,-120.38800783036277
LBA3,2003,1292.323575806804,992.2595362588763,-226.1608189851977
LBA4,2004,1204.7606589305215,883.5544993514195,-342.6562361828983
LBA5,2005,1162.962998724077,730.8364763585851,-573.7379128658213
LBA6,2006,1012.7608264703304,596.8775642644614,-677.3870582780801
LBA7,2007,974.7317185099237,512.2924926923588,-792.264151812531
LBA8,2008,801.8128890562803,384.9494127249345,-864.8152810996398
LBB1,2009,75.85137642035261,1696.6150029767305,2124.0058512371033
LBB2,2010,-425.0356511226855,1582.7112498069182,2360.0476749828085
LBB3,2011,-153.20596666028723,1319.4754472048953,1655.2409018068574
LBB4,2012,-526.8655196540058,1438.9598423903808,2194.2268861634657
LBB5,2013,-534.9286286802962,1182.011558432132,1746.6767899901606
LBB6,2014,-1356.846360793803,971.1810567276552,2095.528035161551
LBB7,2015,-1090.763095736038,1011.18863405101,1932.1817087596282
LBB8,2016,-838.9478768785484,939.6477582361549,1584.7578521589749
LBC1,2017,-785.4286449979991,752.8098408328369,1204.5257124756463
LBC2,2018,-1373.584487578366,783.9019937580451,1779.2194308070466
LBC3,2019,-1277.5830525243655,583.4026903165504,1338.523288236931
LBC4,2020,-1864.749507785309,680.3185471044853,2025.5672250445932
LBC5,2021,-2091.5019976827316,413.1686444748193,1752.4799073389731
LBC6,2022,-1753.3615937312134,435.39740321505815,1494.717241645325
LBC7,2023,-1910.8891543275677,169.98654301650822,1168.7553875856102
LBC8,2024,-1525.185802178923,307.9023610772565,1070.2130143344402
LBD1,2025,-2106.7248147893697,-55.74163355957717,945.663184415549
LBD2,2026,-2346.2085316921584,92.77261739503592,1415.9489152617753
LBD3,2027,-2744.0154566704296,115.87611284386367,1806.9426622944884
LBD4,2028,-2693.271326065995,-77.62344345357269,1425.6753993527964
LBD5,2029,-2523.1714028413408,-204.03440596628934,1053.0888435840607
LBD6,2030,-3012.1630365042947,-176.3356006378308,1532.4831030201167
LBD7,2031,-3257.156446607318,-434.52936080563813,1296.0605338648893
LBD8,2032,-3011.128336419817,-404.4328298382461,1130.749241237063
LBE1,2033,-1798.0550519376993,-106.10733410622925,587.6553624151275
LBE2,2034,-2059.132542229723,-344.04387003649026,394.6441051457077
LBE3,2035,-2436.9887054734863,-333.5678185140714,748.6139205247164
LBE4,2036,-2231.457343499176,-543.9052007636055,198.26638072589412
LBE5,2037,-2749.020316131413,-539.2615972785279,664.5134025244042
LBE6,2038,-2650.851884451695,-671.7590573532507,344.7452163971029
LBE7,2039,-2302.5747672189027,-775.4886804111302,-144.8827550834976
LBE8,2040,-3077.8989094286226,-621.6786587582901,810.5468773469329
LBF1,2041,-702.3951818263158,-390.6519818138331,-892.8889492098242
LBF2,2042,-1499.458072155714,-293.7729196874425,-5.54471391113475
LBF3,2043,-1060.7499603647739,-512.4798253262416,-783.4704591231421
LBF4,2044,-1549.3480851463974,-652.2519222805277,-592.0738738114014
LBF5,2045,-1352.7441593129188,-781.0109919505194,-997.9410357563756
LBF6,2046,-1807.2578940908425,-593.2847322486341,-260.76948982849717
