name,number,x,y,z
HH238,238,58.20636416319758,-51.50338878831826,61.27675295621157
HH239,239,52.90422955993563,-37.89171453518793,61.31952907750383
HH240,240,47.602068273350596,-24.280050936387852,61.36232227366418
HH241,241,42.30788273829967,-10.665257353102788,61.400023978203535
HH242,242,37.00566807389259,2.946384956827387,61.44285132177174
HH243,243,31.70342672802508,16.55801661219448,61.48569573787972
HH244,244,22.426413242705166,28.644288952928036,54.24702747305855
HH245,245,17.124118531122804,42.25589944655076,54.28990613063797
HH246,246,11.83780191000551,55.87378076929599,54.32258471287787
HH247,247,6.527451436966658,69.48222922952846,54.37060609366745
HH248,248,1.2250766661018133,83.09380777669139,54.41353597166017
HH249,249,-4.101331875659525,96.69595324783586,54.4718086454086
HH250,250,88.02135366946459,-110.4705221077893,72.00503190746531
HH251,251,82.71133664622903,-96.86194064631127,72.05283960374072
HH252,252,77.40929544530809,-83.25022935704328,72.09555582469329
HH253,253,72.09122259635478,-69.64480981440283,72.14850621297956
HH254,254,66.79713051766157,-56.02997930836864,72.18614803534001
HH255,255,61.48700680676848,-42.42144059226848,72.23402402270585
HH256,256,56.192861343733966,-28.806631352519616,72.27169999061152
HH257,257,50.89068673085421,-15.194973357021809,72.31450158031657
HH258,258,45.596487873233855,-1.580185362836346,72.35221169469878
HH259,259,40.30226231645793,12.034592017997056,72.38993888255209
HH260,260,34.98400278761983,25.639936700928956,72.4430087832734
HH261,261,25.719763953238726,37.73118120874278,65.207833356224
HH262,262,20.425458314828575,51.345926832873374,65.24561184830964
HH263,263,15.147130765020847,64.96694335946813,65.27319030091166
HH264,264,9.844769325107336,78.57852702331729,65.316111497581
HH265,265,4.534378827549517,92.18695923057385,65.36415832582861
HH266,266,91.30680774897337,-101.38672478636727,82.9708789223805
HH267,267,86.00477990694344,-87.77500844513997,83.01358646387234
HH268,268,80.70272537972778,-74.1633027587086,83.05631107836962
HH269,269,75.3846391942352,-60.55788884800859,83.10926982574165
HH270,270,70.08253131527454,-46.94620451238006,83.15202858718112
HH271,271,64.78039675112814,-33.334530831780285,83.19480442116037
HH272,272,59.48623796645552,-19.71972718113102,83.23248879797757
HH273,273,54.184050027281046,-6.108074788236991,83.27529877843335
HH274,274,48.889837849885225,7.50670761638321,83.31301730405539
HH275,275,43.58759653382003,21.118338719708845,83.35586143098772
HH276,276,38.28532853256911,34.72995916730724,83.39872263092548
HH277,277,29.01631803624332,46.819371627410874,76.15494601381943
HH278,278,23.786018318496644,60.45923768449575,76.15186459524557
HH279,279,18.419651004485786,74.0457003575284,76.2356454320252
HH280,280,13.117276256904006,87.65727837430313,76.27857502130792
HH281,281,94.61147035844624,-92.29534851503558,93.91281566536054
HH282,282,89.30142666306347,-78.68677826668136,93.96064011286944
HH283,283,83.99935880117118,-65.07507816120051,94.0033731199801
HH284,284,78.68926176149398,-51.46652928576805,94.05123171303421
HH285,285,73.37913805618882,-37.857991106575355,94.09910737909377
HH286,286,68.08499263506383,-24.243182390229777,94.1367830936797
HH287,287,62.790820511989295,-10.628384285839275,94.17447588127106
HH288,288,57.480616768822074,2.980121885659173,94.22240276681259
HH289,289,52.18639126140624,16.59489872236736,94.26012970227748
